1976,0,0,1060,52578,36732,26688,0,0
1976,0,1,232,399009,169140,142596,0,0
1976,0,0,1080,7680,5100,3660,0,0
1976,0,0,232,65762,49056,17988,0,0
1976,0,0,1080,25601,8112,2340,0,0
1976,0,0,1134,13499,50136,34272,0,0
1976,0,0,1060,195758,61080,52716,1,0
1976,0,0,1058,31160,20064,15792,0,0
1976,0,0,1134,17562,42636,38052,0,0
1976,0,0,484,44507,45936,39576,0,0
1976,0,0,482,5198,18180,17184,0,0
1976,0,0,1060,30858,35580,29364,0,0
1976,0,0,502,12365,33480,31668,0,0
1976,0,0,1058,25989,14880,11448,0,0
1976,0,0,1058,31160,19356,16656,0,0
1976,0,0,1058,35334,209148,119376,0,0
1976,0,0,232,90514,47088,29508,0,0
1976,0,0,1080,17369,15576,13644,0,0
1976,0,0,484,25601,36552,31356,0,0
1976,0,0,1080,60380,74268,66780,0,0
1976,0,0,232,142254,34056,15720,0,0
1976,0,0,1058,12546,32532,30756,0,0
1976,0,0,499,56519,46080,39828,0,0
1976,0,0,1060,146589,79428,66852,0,0
1976,0,0,482,27832,8664,7320,0,0
1976,0,0,482,30558,25644,21324,0,0
1976,0,0,484,41145,43368,20952,0,0
1976,0,0,1080,17881,15036,13680,0,0
1976,0,0,1058,17563,34644,10824,0,0
1976,0,0,1134,31499,36024,19980,0,0
1976,0,0,1058,17865,16584,14772,0,0
1976,0,0,1080,12556,23628,19008,0,0
1976,0,0,1080,66392,35364,34008,0,0
1976,0,0,1058,41797,56184,43416,0,0
1976,0,0,1080,32137,54312,22248,0,0
1976,0,0,1080,22577,18768,15360,0,0
1976,0,0,1080,17881,19356,13512,0,0
1976,0,0,232,154139,95688,81708,0,0
1976,0,0,1058,20791,19560,10848,0,0
1976,0,0,1134,52245,82788,68532,0,0
1976,0,0,484,115599,52308,47652,0,0
1976,0,0,1080,35682,28392,25788,0,0
1976,0,0,484,36313,27384,13596,0,0
1976,0,0,232,33625,122760,85560,0,0
1976,0,0,1058,83433,78528,66660,0,0
1976,0,1,1080,27999,7812,4104,0,0
1976,0,0,1060,67445,83916,35496,0,0
1976,0,0,499,32401,186408,186408,0,0
1976,0,0,1058,4569,23304,21636,0,0
1976,0,0,484,12249,11208,9744,0,0
1976,0,0,484,216957,150228,135828,0,0
1976,0,0,1058,31160,30264,25704,0,0
1976,0,0,482,12546,62640,24300,0,0
1976,0,0,470,30858,13692,10488,0,0
1976,0,0,1134,5574,21852,18996,0,0
1976,0,0,1058,26886,28476,26784,0,0
1976,0,0,1058,5198,21528,20952,0,0
1976,0,0,1080,38402,15492,9876,0,0
1976,0,0,1080,35682,129900,127296,0,0
1976,0,0,1058,31160,60540,56220,0,0
1976,0,0,232,163608,218376,207504,0,0
1976,0,0,1060,52578,21360,16020,0,0
1976,0,0,1058,78388,34452,27000,0,0
1976,0,0,499,91739,30660,21804,0,0
